system:index,ARVI,B11,B12,B2,B3,B4,B5,B6,B7,B8,DVI,GRVI,HH,HV,IRECI,LAI,MTCI,NDVI,REIP,RVI,VH,VV,agbd,random,.geo
202010_078E_024N_405,0.8570268,979.0,503.0,176.0,450.0,264.0,739.0,1896.0,2189.0,2296.0,1967.0,0.2394775,11181,5447,4646.9697,6.96227,3.1542752,0.7854998,716.605,8.324,-15.943847361130038,-9.578444347191668,229.25621032714844,0.7560843582636766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73122607492434,29.703568186391415]}"
202010_078E_024N_256,0.8066931,1743.5,993.5,280.5,568.0,461.5,1016.5,2162.5,2467.5,2673.0,2163.5,0.06617008,5839,3504,4024.9146,5.6840105,3.0313578,0.67897797,716.5018,5.252947,-18.41774949601198,-13.004012359540308,163.30661010742188,0.7560844071352765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7726664806013,29.717043464003357]}"
202007_078E_024N_211,0.8401319,1321.0,669.0,194.0,473.0,340.0,898.0,2117.0,2397.0,2452.0,2126.0,0.16876574,11420,6836,5068.7417,6.479908,2.6410255,0.74063635,715.42206,6.71118,-15.304977616942168,-8.136050150119607,334.553436,0.7561864911235803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.70349508045625,29.689763830452225]}"
202005_078E_024N_288,0.8278779,1519.0,758.0,205.0,457.0,354.0,880.0,1951.0,2185.0,2252.0,1826.0,0.11720698,8983,4457,3971.8835,6.2016506,2.4876924,0.7158609,714.916,6.038806,-14.41407471126635,-7.464778780448269,83.891747,0.7564795497915017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74226614907033,29.70931343728252]}"
202005_078E_024N_745,0.85682184,1924.0,974.0,202.0,401.0,310.0,906.0,2058.0,2594.0,2800.0,2476.0,0.124417834,9576,5333,5781.0986,7.232187,3.515397,0.81430364,718.2469,9.77027,-13.774744147855795,-8.075665168112321,101.248611,0.7565781690443976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72601644362247,29.686372791263086]}"
202008_078E_024N_352,0.8062336,1216.0,624.0,249.0,514.0,421.0,910.0,2096.0,2285.0,2332.0,1759.0,0.14081633,9371,4722,3863.6047,6.0322943,2.4748201,0.69032735,713.78033,5.458432,-15.470331926070855,-9.13403900842478,79.09968566894531,0.7566043095742312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7610856195861,29.670913465863155]}"
202005_078E_024N_763,0.85507244,791.0,392.0,127.0,319.0,212.0,408.0,1213.0,1457.0,1652.0,1406.0,0.1951952,5440,3000,3306.245,6.7237906,3.9927535,0.75518394,718.7525,7.169399,-16.463622166862198,-10.334976464571472,133.232208,0.7567339968170284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75263627445776,29.685723724070346]}"
202009_078E_024N_162,0.85593754,1152.0,563.5,209.0,568.5,344.0,932.0,2159.5,2434.5,2509.5,2088.0,0.22139516,10148,5463,4366.8447,6.477998,2.6334481,0.76153743,714.5477,7.3872766,-14.430874966572233,-8.899021960610336,443.427643,0.7574678888306089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78497244216969,29.703846623668333]}"
202007_078E_024N_185,0.8750507,1662.0,804.0,200.0,463.0,331.0,827.0,2231.0,2660.0,2801.0,2444.0,0.11911357,6120,3866,5330.401,6.7162905,3.4309523,0.7519657,719.282,7.0634007,-19.24679105829317,-13.722809152872218,905.78949,0.7577885378371154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71610796615566,29.69349622919722]}"
202009_078E_024N_550,0.86309856,1242.0,577.0,225.0,541.0,351.0,940.0,2564.0,3009.0,3000.0,2611.0,0.21445782,8228,6310,7852.4165,6.4534907,3.6314049,0.80496895,717.01575,9.254777,-17.16634614151792,-11.461328164449904,644.310364,0.7578898994242864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78682089847216,29.679047584463984]}"
